job_title,industry,company_size,connections,bio,recent_activity,has_website,posts_per_month,years_experience,reply_probability,label,label_encoded
Student,Government,1000+,511,Focused on building products and learning. Passionate about coding.,Liked a job posting,0,0,1,0.12,cold,0
Student,Non-profit,1000+,625,Focused on student and operations. Passionate about learning.,Liked a job posting,0,3,6,0.12,cold,0
CMO,Digital Marketing,11-50,1486,Focused on campaigns and digital. Passionate about strategy.,Liked a marketing strategy post,1,3,10,0.35,warm,1
Founder,B2B Tech,51-200,947,Focused on lead gen and pipeline. Passionate about cold outreach.,Published article on B2B lead gen,1,12,6,0.88,hot,2
Data Analyst,Healthcare,201-500,110,Focused on student and recruiting. Passionate about recruiting.,Liked a job posting,0,3,1,0.17,cold,0
CMO,Real Estate,11-50,1633,Focused on campaigns and partnerships. Passionate about partnerships.,Commented on growth post,0,2,8,0.24,warm,1
Data Analyst,Education,501-1000,505,Focused on recruiting and student. Passionate about coding.,Updated profile picture,0,3,5,0.09,cold,0
Head of Sales,Marketing Tech,51-200,3116,Focused on growth hacking and lead gen. Passionate about lead gen.,Shared revenue milestone,1,14,7,0.63,hot,2
CEO,Sales Tech,51-200,565,Focused on revenue and lead gen. Passionate about lead gen.,Shared a cold email template,1,15,15,0.74,hot,2
Data Analyst,Non-profit,1-10,458,Focused on recruiting and building products. Passionate about coding.,Liked a job posting,0,3,0,0.14,cold,0
Finance Manager,Non-profit,1-10,251,Focused on building products and coding. Passionate about coding.,No recent activity,0,3,0,0.02,cold,0
Co-Founder,SaaS,11-50,3442,Focused on cold outreach and lead gen. Passionate about lead gen.,Shared a cold email template,1,12,12,0.64,hot,2
Finance Manager,Non-profit,1000+,723,Focused on data and operations. Passionate about operations.,No posts in 90 days,0,3,1,0.03,cold,0
VP Sales,Fintech,1-10,1869,Focused on revenue and lead gen. Passionate about cold outreach.,Shared a cold email template,1,12,6,0.68,hot,2
Founder,Fintech,51-200,1916,Focused on B2B sales and GTM. Passionate about GTM.,Shared revenue milestone,1,16,6,0.75,hot,2
Founder,B2B Tech,11-50,573,Focused on pipeline and outbound. Passionate about B2B sales.,Published article on B2B lead gen,1,6,14,0.62,hot,2
Marketing Manager,Consulting,11-50,1324,Focused on brand and partnerships. Passionate about marketing.,Commented on growth post,0,1,4,0.51,warm,1
Director of Growth,B2B Tech,1-10,3877,Focused on pipeline and cold outreach. Passionate about B2B sales.,Posted about LinkedIn outreach tips,0,16,7,0.67,hot,2
Product Manager,Insurance,11-50,1397,Focused on digital and marketing. Passionate about marketing.,Liked a marketing strategy post,1,4,8,0.25,warm,1
CRO,E-commerce,11-50,3461,Focused on growth hacking and scaling. Passionate about B2B sales.,Posted about LinkedIn outreach tips,0,6,8,0.85,hot,2
Head of Marketing,Insurance,201-500,809,Focused on strategy and campaigns. Passionate about digital.,Liked a marketing strategy post,0,1,2,0.24,warm,1
Founder,B2B Tech,11-50,3476,Focused on lead gen and B2B sales. Passionate about B2B sales.,Posted about LinkedIn outreach tips,1,11,5,0.66,hot,2
Director of Growth,Marketing Tech,51-200,4172,Focused on GTM and pipeline. Passionate about pipeline.,Shared a cold email template,1,17,4,0.67,hot,2
VP Sales,Marketing Tech,1-10,3527,Focused on pipeline and cold outreach. Passionate about outbound.,Posted about LinkedIn outreach tips,0,17,5,0.68,hot,2
Head of Sales,Sales Tech,11-50,2050,Focused on B2B sales and lead gen. Passionate about lead gen.,Shared revenue milestone,1,9,11,0.58,hot,2
Head of Sales,SaaS,11-50,4309,Focused on pipeline and lead gen. Passionate about outbound.,Published article on B2B lead gen,1,16,8,0.83,hot,2
CEO,E-commerce,51-200,2912,Focused on revenue and scaling. Passionate about growth hacking.,Published article on B2B lead gen,0,8,7,0.74,hot,2
Head of Marketing,Digital Marketing,11-50,1330,Focused on marketing and strategy. Passionate about strategy.,Liked a marketing strategy post,1,3,8,0.35,warm,1
Data Analyst,Manufacturing,1000+,268,Focused on data and coding. Passionate about recruiting.,No posts in 90 days,0,0,5,0.09,cold,0
Software Engineer,Healthcare,1-10,264,Focused on engineering and coding. Passionate about coding.,No posts in 90 days,0,3,3,0.03,cold,0
Product Manager,Consulting,51-200,1289,Focused on brand and campaigns. Passionate about partnerships.,Shared industry news,1,8,11,0.47,warm,1
Data Analyst,Healthcare,1-10,399,Focused on coding and engineering. Passionate about building products.,Liked a job posting,0,2,5,0.12,cold,0
Co-Founder,B2B Tech,11-50,1889,Focused on growth hacking and cold outreach. Passionate about GTM.,Published article on B2B lead gen,1,18,15,0.73,hot,2
Director of Growth,B2B Tech,51-200,2351,Focused on scaling and B2B sales. Passionate about B2B sales.,Posted about LinkedIn outreach tips,0,4,15,0.73,hot,2
CMO,Retail Tech,11-50,1366,Focused on partnerships and marketing. Passionate about digital.,Liked a marketing strategy post,1,1,9,0.24,warm,1
Student,Non-profit,201-500,191,Focused on data and learning. Passionate about learning.,No posts in 90 days,0,3,5,0.18,cold,0
Marketing Manager,Digital Marketing,11-50,512,Focused on partnerships and business development. Passionate about business development.,Shared industry news,1,6,8,0.46,warm,1
Student,Education,201-500,516,Focused on student and building products. Passionate about recruiting.,No posts in 90 days,0,2,6,0.03,cold,0
CRO,SaaS,11-50,4523,Focused on cold outreach and outbound. Passionate about lead gen.,Published article on B2B lead gen,1,15,8,0.85,hot,2
Recruiter,Healthcare,501-1000,558,Focused on student and coding. Passionate about coding.,Updated profile picture,0,2,7,0.12,cold,0
Finance Manager,Healthcare,1-10,325,Focused on building products and engineering. Passionate about coding.,No recent activity,0,2,7,0.03,cold,0
Head of Sales,B2B Tech,1-10,4294,Focused on B2B sales and lead gen. Passionate about scaling.,Shared a cold email template,0,12,12,0.55,hot,2
Finance Manager,Government,501-1000,441,Focused on learning and engineering. Passionate about data.,No recent activity,0,1,1,0.07,cold,0
Student,Non-profit,1-10,596,Focused on engineering and building products. Passionate about operations.,Updated profile picture,0,3,6,0.04,cold,0
Marketing Manager,Real Estate,201-500,1821,Focused on brand and partnerships. Passionate about partnerships.,Commented on growth post,0,7,4,0.4,warm,1
Product Manager,Consulting,11-50,1100,Focused on business development and digital. Passionate about partnerships.,Shared industry news,1,4,8,0.29,warm,1
Marketing Manager,Real Estate,201-500,1619,Focused on brand and business development. Passionate about partnerships.,Liked a marketing strategy post,1,6,12,0.36,warm,1
Business Development Manager,Insurance,51-200,1054,Focused on brand and business development. Passionate about campaigns.,Liked a marketing strategy post,1,4,12,0.48,warm,1
Head of Marketing,Insurance,201-500,2000,Focused on partnerships and strategy. Passionate about strategy.,Commented on growth post,1,5,3,0.46,warm,1
Business Development Manager,Digital Marketing,51-200,1838,Focused on brand and marketing. Passionate about marketing.,Liked a marketing strategy post,1,7,12,0.46,warm,1
Head of Marketing,Insurance,51-200,1151,Focused on strategy and marketing. Passionate about marketing.,Commented on growth post,0,3,7,0.35,warm,1
Head of Sales,B2B Tech,51-200,4862,Focused on pipeline and cold outreach. Passionate about cold outreach.,Shared a cold email template,1,5,15,0.64,hot,2
CMO,Retail Tech,51-200,1182,Focused on marketing and strategy. Passionate about strategy.,Shared industry news,1,5,6,0.47,warm,1
Data Analyst,Healthcare,201-500,367,Focused on learning and student. Passionate about student.,No posts in 90 days,0,2,8,0.14,cold,0
HR Manager,Education,501-1000,554,Focused on engineering and student. Passionate about student.,Liked a job posting,0,3,8,0.1,cold,0
Software Engineer,Education,1000+,561,Focused on data and recruiting. Passionate about student.,Liked a job posting,0,1,8,0.07,cold,0
Founder,Marketing Tech,11-50,2270,Focused on revenue and pipeline. Passionate about GTM.,Shared revenue milestone,0,6,11,0.83,hot,2
Marketing Manager,Digital Marketing,11-50,1864,Focused on strategy and brand. Passionate about marketing.,Liked a marketing strategy post,0,1,5,0.33,warm,1
HR Manager,Education,1000+,162,Focused on learning and coding. Passionate about coding.,Liked a job posting,0,2,1,0.07,cold,0
Data Analyst,Government,201-500,274,Focused on operations and coding. Passionate about building products.,Updated profile picture,0,1,0,0.04,cold,0
Recruiter,Government,1000+,103,Focused on building products and engineering. Passionate about engineering.,No recent activity,0,1,3,0.05,cold,0
Business Development Manager,Insurance,51-200,869,Focused on partnerships and strategy. Passionate about brand.,Commented on growth post,0,4,3,0.3,warm,1
Marketing Manager,Consulting,201-500,864,Focused on marketing and brand. Passionate about brand.,Liked a marketing strategy post,0,5,2,0.34,warm,1
CEO,SaaS,1-10,2801,Focused on growth hacking and outbound. Passionate about cold outreach.,Posted about LinkedIn outreach tips,0,8,12,0.7,hot,2
Co-Founder,E-commerce,1-10,2650,Focused on outbound and lead gen. Passionate about B2B sales.,Shared revenue milestone,1,8,12,0.56,hot,2
CMO,Consulting,201-500,937,Focused on digital and marketing. Passionate about marketing.,Shared industry news,1,5,4,0.35,warm,1
Marketing Manager,Consulting,11-50,828,Focused on campaigns and strategy. Passionate about strategy.,Liked a marketing strategy post,1,5,5,0.22,warm,1
CRO,SaaS,11-50,3236,Focused on growth hacking and scaling. Passionate about pipeline.,Published article on B2B lead gen,1,11,5,0.76,hot,2
Data Analyst,Manufacturing,1-10,158,Focused on student and recruiting. Passionate about recruiting.,No recent activity,0,0,6,0.07,cold,0
VP Sales,Marketing Tech,51-200,2148,Focused on outbound and B2B sales. Passionate about B2B sales.,Shared revenue milestone,1,18,7,0.76,hot,2
Director of Growth,E-commerce,11-50,3903,Focused on growth hacking and cold outreach. Passionate about cold outreach.,Posted about LinkedIn outreach tips,1,11,8,0.6,hot,2
Finance Manager,Healthcare,1000+,523,Focused on engineering and coding. Passionate about recruiting.,Updated profile picture,0,1,6,0.11,cold,0
CMO,Retail Tech,11-50,1433,Focused on marketing and brand. Passionate about brand.,Liked a marketing strategy post,0,7,10,0.42,warm,1
CMO,Insurance,201-500,1153,Focused on marketing and business development. Passionate about business development.,Commented on growth post,1,1,11,0.2,warm,1
Head of Marketing,Real Estate,11-50,213,Focused on strategy and campaigns. Passionate about marketing.,Shared industry news,1,2,4,0.2,warm,1
Founder,Sales Tech,11-50,1608,Focused on revenue and scaling. Passionate about lead gen.,Shared revenue milestone,1,13,8,0.63,hot,2
CEO,Marketing Tech,1-10,1871,Focused on B2B sales and lead gen. Passionate about cold outreach.,Shared revenue milestone,1,16,9,0.66,hot,2
HR Manager,Healthcare,1-10,780,Focused on data and coding. Passionate about recruiting.,No recent activity,0,0,6,0.17,cold,0
Data Analyst,Government,1000+,568,Focused on building products and learning. Passionate about data.,No posts in 90 days,0,2,1,0.16,cold,0
Product Manager,Retail Tech,201-500,1877,Focused on business development and campaigns. Passionate about marketing.,Shared industry news,1,5,3,0.54,warm,1
Finance Manager,Government,201-500,417,Focused on data and coding. Passionate about engineering.,No recent activity,0,3,7,0.06,cold,0
Head of Marketing,Insurance,11-50,1411,Focused on business development and digital. Passionate about marketing.,Commented on growth post,1,7,6,0.52,warm,1
Head of Marketing,Digital Marketing,201-500,1360,Focused on brand and strategy. Passionate about marketing.,Shared industry news,1,6,12,0.45,warm,1
Head of Marketing,Retail Tech,201-500,986,Focused on strategy and brand. Passionate about marketing.,Shared industry news,0,2,12,0.43,warm,1
Software Engineer,Education,1000+,566,Focused on data and recruiting. Passionate about engineering.,No recent activity,0,3,7,0.1,cold,0
Marketing Manager,Retail Tech,11-50,1865,Focused on business development and marketing. Passionate about partnerships.,Shared industry news,1,7,9,0.27,warm,1
Software Engineer,Non-profit,1000+,557,Focused on learning and coding. Passionate about student.,Updated profile picture,0,3,7,0.05,cold,0
Director of Growth,SaaS,51-200,793,Focused on B2B sales and lead gen. Passionate about lead gen.,Posted about LinkedIn outreach tips,1,19,9,0.82,hot,2
Co-Founder,E-commerce,11-50,2380,Focused on revenue and cold outreach. Passionate about growth hacking.,Shared revenue milestone,0,4,13,0.58,hot,2
Software Engineer,Non-profit,501-1000,358,Focused on student and engineering. Passionate about engineering.,No recent activity,0,1,5,0.17,cold,0
Director of Growth,Marketing Tech,1-10,2286,Focused on growth hacking and pipeline. Passionate about GTM.,Posted about LinkedIn outreach tips,1,20,3,0.67,hot,2
Data Analyst,Non-profit,201-500,208,Focused on student and coding. Passionate about data.,Liked a job posting,0,2,6,0.18,cold,0
HR Manager,Manufacturing,1-10,736,Focused on learning and engineering. Passionate about student.,No posts in 90 days,0,1,4,0.11,cold,0
Founder,Marketing Tech,51-200,701,Focused on scaling and B2B sales. Passionate about pipeline.,Shared revenue milestone,1,13,6,0.77,hot,2
Co-Founder,SaaS,11-50,4808,Focused on growth hacking and cold outreach. Passionate about cold outreach.,Posted about LinkedIn outreach tips,0,4,5,0.72,hot,2
Co-Founder,SaaS,11-50,3549,Focused on scaling and outbound. Passionate about revenue.,Published article on B2B lead gen,0,12,6,0.88,hot,2
CRO,Marketing Tech,11-50,4108,Focused on pipeline and growth hacking. Passionate about cold outreach.,Shared revenue milestone,1,12,4,0.64,hot,2
Student,Education,1-10,575,Focused on learning and data. Passionate about coding.,No recent activity,0,3,4,0.07,cold,0
Head of Marketing,Retail Tech,11-50,1833,Focused on campaigns and strategy. Passionate about partnerships.,Shared industry news,0,2,11,0.31,warm,1
Co-Founder,Sales Tech,1-10,436,Focused on B2B sales and lead gen. Passionate about cold outreach.,Posted about LinkedIn outreach tips,0,10,15,0.65,hot,2
Head of Marketing,Consulting,51-200,329,Focused on campaigns and strategy. Passionate about marketing.,Shared industry news,1,4,5,0.42,warm,1
Head of Sales,Fintech,11-50,1047,Focused on growth hacking and pipeline. Passionate about GTM.,Shared revenue milestone,0,14,5,0.79,hot,2
Marketing Manager,Consulting,201-500,1648,Focused on campaigns and brand. Passionate about partnerships.,Shared industry news,1,2,6,0.25,warm,1
Business Development Manager,Insurance,201-500,159,Focused on brand and campaigns. Passionate about business development.,Shared industry news,0,2,6,0.52,warm,1
Product Manager,Insurance,51-200,223,Focused on partnerships and business development. Passionate about marketing.,Commented on growth post,1,5,12,0.52,warm,1
HR Manager,Education,501-1000,637,Focused on engineering and data. Passionate about data.,No posts in 90 days,0,0,4,0.02,cold,0
Software Engineer,Healthcare,501-1000,773,Focused on student and engineering. Passionate about coding.,Liked a job posting,0,1,7,0.15,cold,0
Recruiter,Education,1-10,495,Focused on engineering and building products. Passionate about operations.,No recent activity,0,3,3,0.14,cold,0
Business Development Manager,Insurance,201-500,978,Focused on digital and strategy. Passionate about strategy.,Shared industry news,0,2,11,0.46,warm,1
Business Development Manager,Real Estate,201-500,1440,Focused on brand and business development. Passionate about business development.,Commented on growth post,0,2,5,0.48,warm,1
Co-Founder,B2B Tech,1-10,3541,Focused on cold outreach and outbound. Passionate about outbound.,Published article on B2B lead gen,1,16,8,0.66,hot,2
Student,Government,501-1000,748,Focused on student and coding. Passionate about recruiting.,Updated profile picture,0,0,5,0.02,cold,0
Data Analyst,Education,1000+,682,Focused on engineering and data. Passionate about operations.,No posts in 90 days,0,0,1,0.01,cold,0
CEO,SaaS,1-10,2986,Focused on GTM and growth hacking. Passionate about growth hacking.,Published article on B2B lead gen,0,17,8,0.8,hot,2
Product Manager,Real Estate,51-200,318,Focused on business development and partnerships. Passionate about campaigns.,Liked a marketing strategy post,1,5,6,0.49,warm,1
VP Sales,B2B Tech,1-10,1607,Focused on revenue and B2B sales. Passionate about GTM.,Shared revenue milestone,0,8,4,0.58,hot,2
Finance Manager,Healthcare,1000+,510,Focused on engineering and student. Passionate about operations.,No recent activity,0,1,7,0.16,cold,0
Co-Founder,Marketing Tech,51-200,3583,Focused on scaling and pipeline. Passionate about B2B sales.,Posted about LinkedIn outreach tips,0,4,9,0.67,hot,2
Product Manager,Real Estate,201-500,598,Focused on digital and strategy. Passionate about brand.,Liked a marketing strategy post,1,1,7,0.53,warm,1
CEO,B2B Tech,11-50,3732,Focused on scaling and B2B sales. Passionate about GTM.,Shared a cold email template,1,12,3,0.78,hot,2
Recruiter,Manufacturing,1-10,136,Focused on data and learning. Passionate about coding.,Updated profile picture,0,1,6,0.15,cold,0
Recruiter,Manufacturing,1000+,518,Focused on student and recruiting. Passionate about operations.,Updated profile picture,0,1,3,0.1,cold,0
HR Manager,Non-profit,1000+,566,Focused on student and learning. Passionate about building products.,Updated profile picture,0,0,6,0.09,cold,0
Business Development Manager,Digital Marketing,201-500,1093,Focused on partnerships and brand. Passionate about brand.,Commented on growth post,1,7,6,0.39,warm,1
VP Sales,Fintech,11-50,2627,Focused on lead gen and outbound. Passionate about scaling.,Published article on B2B lead gen,1,8,12,0.87,hot,2
Marketing Manager,Consulting,51-200,1740,Focused on campaigns and brand. Passionate about partnerships.,Shared industry news,0,2,7,0.26,warm,1
Product Manager,Real Estate,201-500,870,Focused on strategy and partnerships. Passionate about brand.,Shared industry news,1,5,6,0.5,warm,1
Marketing Manager,Consulting,51-200,1011,Focused on strategy and partnerships. Passionate about brand.,Commented on growth post,0,5,3,0.44,warm,1
Director of Growth,Fintech,1-10,796,Focused on cold outreach and scaling. Passionate about lead gen.,Shared revenue milestone,1,7,6,0.6,hot,2
CMO,Real Estate,51-200,535,Focused on business development and campaigns. Passionate about partnerships.,Liked a marketing strategy post,0,2,9,0.44,warm,1
Product Manager,Retail Tech,201-500,789,Focused on brand and strategy. Passionate about strategy.,Commented on growth post,0,1,10,0.4,warm,1
CMO,Consulting,51-200,1525,Focused on business development and marketing. Passionate about strategy.,Liked a marketing strategy post,0,8,4,0.23,warm,1
Head of Sales,Sales Tech,51-200,4399,Focused on GTM and revenue. Passionate about pipeline.,Shared a cold email template,0,4,7,0.59,hot,2
Software Engineer,Manufacturing,501-1000,766,Focused on coding and recruiting. Passionate about recruiting.,Liked a job posting,0,3,3,0.01,cold,0
Software Engineer,Non-profit,501-1000,776,Focused on learning and coding. Passionate about engineering.,No posts in 90 days,0,0,1,0.07,cold,0
Recruiter,Government,1-10,716,Focused on operations and recruiting. Passionate about engineering.,No posts in 90 days,0,1,5,0.12,cold,0
Student,Education,1-10,498,Focused on recruiting and building products. Passionate about student.,No posts in 90 days,0,0,8,0.03,cold,0
Marketing Manager,Consulting,11-50,1525,Focused on strategy and brand. Passionate about digital.,Liked a marketing strategy post,1,3,10,0.45,warm,1
Student,Education,201-500,384,Focused on building products and engineering. Passionate about data.,No posts in 90 days,0,0,6,0.1,cold,0
Director of Growth,E-commerce,1-10,2302,Focused on outbound and growth hacking. Passionate about revenue.,Posted about LinkedIn outreach tips,1,7,7,0.59,hot,2
Software Engineer,Non-profit,501-1000,236,Focused on operations and learning. Passionate about building products.,No posts in 90 days,0,0,3,0.17,cold,0
Student,Non-profit,501-1000,714,Focused on engineering and recruiting. Passionate about learning.,No posts in 90 days,0,0,5,0.08,cold,0
Head of Sales,Fintech,11-50,3462,Focused on scaling and lead gen. Passionate about cold outreach.,Shared a cold email template,1,5,4,0.73,hot,2
Data Analyst,Manufacturing,201-500,658,Focused on building products and student. Passionate about student.,No posts in 90 days,0,3,4,0.04,cold,0
Student,Non-profit,201-500,536,Focused on learning and coding. Passionate about coding.,No recent activity,0,2,1,0.13,cold,0
Business Development Manager,Real Estate,201-500,1721,Focused on business development and marketing. Passionate about brand.,Commented on growth post,1,8,12,0.2,warm,1
Director of Growth,Sales Tech,51-200,3803,Focused on growth hacking and pipeline. Passionate about pipeline.,Posted about LinkedIn outreach tips,0,8,12,0.7,hot,2
Business Development Manager,Retail Tech,11-50,1558,Focused on digital and business development. Passionate about business development.,Shared industry news,1,5,8,0.4,warm,1
Finance Manager,Manufacturing,1000+,323,Focused on coding and engineering. Passionate about operations.,No recent activity,0,2,6,0.07,cold,0
Head of Sales,B2B Tech,11-50,2755,Focused on pipeline and outbound. Passionate about cold outreach.,Shared revenue milestone,1,15,14,0.76,hot,2
Product Manager,Real Estate,11-50,1975,Focused on partnerships and campaigns. Passionate about campaigns.,Commented on growth post,0,2,12,0.48,warm,1
VP Sales,B2B Tech,1-10,4392,Focused on outbound and cold outreach. Passionate about revenue.,Shared a cold email template,0,12,6,0.57,hot,2
Marketing Manager,Digital Marketing,51-200,1388,Focused on business development and strategy. Passionate about digital.,Liked a marketing strategy post,1,5,11,0.21,warm,1
Software Engineer,Non-profit,1-10,122,Focused on data and learning. Passionate about learning.,Liked a job posting,0,3,5,0.05,cold,0
Software Engineer,Government,1000+,497,Focused on data and engineering. Passionate about operations.,No recent activity,0,1,4,0.16,cold,0
Product Manager,Consulting,51-200,1502,Focused on campaigns and digital. Passionate about strategy.,Shared industry news,1,2,12,0.28,warm,1
Business Development Manager,Real Estate,51-200,1749,Focused on partnerships and digital. Passionate about campaigns.,Shared industry news,1,8,4,0.24,warm,1
Co-Founder,Sales Tech,1-10,597,Focused on GTM and scaling. Passionate about scaling.,Shared revenue milestone,1,9,3,0.87,hot,2
Founder,B2B Tech,1-10,2767,Focused on pipeline and B2B sales. Passionate about B2B sales.,Posted about LinkedIn outreach tips,0,17,4,0.56,hot,2
Marketing Manager,Digital Marketing,51-200,384,Focused on partnerships and marketing. Passionate about digital.,Liked a marketing strategy post,1,2,7,0.31,warm,1
CRO,Fintech,11-50,4100,Focused on outbound and pipeline. Passionate about pipeline.,Shared revenue milestone,1,14,10,0.7,hot,2
Recruiter,Healthcare,201-500,290,Focused on learning and data. Passionate about coding.,Updated profile picture,0,2,2,0.01,cold,0
CMO,Insurance,201-500,366,Focused on campaigns and partnerships. Passionate about partnerships.,Commented on growth post,1,7,4,0.34,warm,1
Head of Marketing,Digital Marketing,51-200,479,Focused on digital and marketing. Passionate about partnerships.,Commented on growth post,0,6,2,0.52,warm,1
HR Manager,Manufacturing,201-500,709,Focused on data and coding. Passionate about student.,No recent activity,0,0,4,0.17,cold,0
Co-Founder,Fintech,11-50,4180,Focused on B2B sales and scaling. Passionate about GTM.,Shared revenue milestone,0,20,12,0.69,hot,2
Director of Growth,Fintech,11-50,4440,Focused on revenue and lead gen. Passionate about outbound.,Shared revenue milestone,0,5,7,0.67,hot,2
Director of Growth,Marketing Tech,1-10,714,Focused on outbound and revenue. Passionate about lead gen.,Published article on B2B lead gen,0,8,15,0.76,hot,2
CRO,SaaS,1-10,3627,Focused on B2B sales and growth hacking. Passionate about lead gen.,Published article on B2B lead gen,1,9,12,0.56,hot,2
CMO,Consulting,51-200,1761,Focused on marketing and partnerships. Passionate about digital.,Commented on growth post,0,5,8,0.36,warm,1
Student,Manufacturing,1-10,197,Focused on learning and operations. Passionate about building products.,Liked a job posting,0,2,6,0.03,cold,0
VP Sales,B2B Tech,51-200,1734,Focused on lead gen and pipeline. Passionate about cold outreach.,Shared revenue milestone,1,19,4,0.65,hot,2
